,Date,Open,High,Low,Close,Volume,Market Cup
1,"Apr 29, 2013",134.44,147.49,134.00,144.54,0,"1,603,768,865"
2,"Apr 30, 2013",144.00,146.93,134.05,139.00,0,"1,542,813,125"
3,"May 01, 2013",139.00,139.89,107.72,116.99,0,"1,298,954,594"
4,"May 02, 2013",116.38,125.60,92.28,105.21,0,"1,168,517,495"
5,"May 03, 2013",106.25,108.13,79.10,97.75,0,"1,085,995,169"
6,"May 04, 2013",98.10,115.00,92.50,112.50,0,"1,250,316,563"
7,"May 05, 2013",112.90,118.80,107.14,115.91,0,"1,288,693,176"
8,"May 06, 2013",115.98,124.66,106.64,112.30,0,"1,249,023,060"
9,"May 07, 2013",112.25,113.44,97.70,111.50,0,"1,240,593,600"
10,"May 08, 2013",109.60,115.78,109.60,113.57,0,"1,264,049,202"
11,"May 09, 2013",113.20,113.46,109.26,112.67,0,"1,254,535,382"
12,"May 10, 2013",112.80,122.00,111.55,117.20,0,"1,305,479,080"
13,"May 11, 2013",117.70,118.68,113.01,115.24,0,"1,284,207,489"
14,"May 12, 2013",115.64,117.45,113.43,115.00,0,"1,281,982,625"
15,"May 13, 2013",114.82,118.70,114.50,117.98,0,"1,315,710,011"
16,"May 14, 2013",117.98,119.80,110.25,111.50,0,"1,243,874,488"
17,"May 15, 2013",111.40,115.81,103.50,114.22,0,"1,274,623,813"
18,"May 16, 2013",114.22,118.76,112.20,118.76,0,"1,325,726,787"
19,"May 17, 2013",118.21,125.30,116.57,123.01,0,"1,373,723,882"
